"id","GPA","QI","act","male","race","age","fulltime","PellEligible","firstgen","major","ftfy","motivation","work"
1102,3.67,38,25,0,4,18,0,0,0,8,1,30,0
1103,2.33,30,16,1,4,21,0,0,0,5,0,15,0
1104,3,16,24,0,4,20,1,0,0,9,0,22.5,0
1105,3.33,46,23,0,4,19,1,0,1,2,1,42.5,1
1106,3,42,21,1,1,18,1,0,0,5,1,15,0
1107,3,12,18,0,3,18,1,0,0,3,1,40,1
1108,3,60,20,0,5,19,1,0,1,9,1,20,0
1109,4,60,21,0,4,18,1,0,1,7,1,60,1
1110,4,54,24,1,1,18,1,0,0,3,1,40,0
1111,3.67,60,29,0,4,18,1,0,1,2,1,37.5,0
1112,3.67,16,27,0,6,18,1,0,0,1,1,42.5,0
1113,4,52.5,17,0,3,19,1,0,1,1,1,37.5,0
1114,3,34,27,0,4,19,1,0,0,3,1,25,0
1115,1.67,44,21,0,6,18,1,0,1,2,1,20,0
1116,4,20,32,0,4,19,1,0,0,8,1,22.5,1
1117,3.67,44,21,0,3,19,1,0,1,2,1,47.5,0
1118,4,40,33,0,4,18,1,0,0,2,1,40,0
1119,3,44,25,1,4,18,1,0,0,8,1,42.5,1
1120,3.33,46,27,1,4,19,1,0,1,5,1,20,1
1121,4,30,36,1,4,18,1,0,0,3,1,17.5,0
1122,3,12,13,0,3,18,1,0,1,4,1,17.5,0
1123,4,30,25,0,4,18,1,0,0,1,1,37.5,0
1124,4,48,24,0,6,19,1,0,0,2,1,40,0
1125,2,12,26,1,5,18,1,0,0,3,1,50,0
1126,4,46,32,1,5,19,1,0,0,5,1,27.5,1
1127,3,36,26,0,4,19,1,0,0,1,1,35,1
1128,4,42.5,29,0,4,18,1,0,0,11,1,40,0
1129,4,54,27,0,4,18,1,0,0,9,1,60,0
1130,3.33,44,26,0,3,18,1,0,1,2,1,40,1
1131,2.67,50,17,0,3,18,1,0,1,9,1,25,1
1132,3.67,40,26,1,4,18,1,0,0,6,1,22.5,0
1133,4,28,31,0,3,18,1,0,1,5,1,60,0
1134,3.33,40,30,1,4,18,1,0,1,4,1,45,0
1135,3,50,26,0,5,18,1,0,1,2,1,40,0
1136,4,60,27,0,4,19,1,0,0,2,1,50,1
1137,4,34,24,0,4,18,1,0,0,11,1,25,0
1138,3.67,16,21,1,2,18,1,0,1,5,1,25,1
1139,2,36,22,1,2,18,1,0,0,1,1,22.5,0
1140,3.67,42,30,0,4,18,1,1,0,9,1,30,0
1141,3.33,32,28,1,4,18,1,0,0,5,1,40,0
1142,3.67,50,33,0,4,18,1,0,1,4,1,35,0
1143,4,52,28,0,4,19,1,0,0,7,1,50,1
1144,4,28,28,1,4,18,1,0,1,5,1,10,1
1145,3.67,26,22,0,4,18,1,0,0,5,1,40,1
1146,3,20,24,1,4,19,1,0,1,8,1,20,1
1147,3,42,23,0,4,19,1,0,0,9,1,47.5,1
1148,3.67,52.5,29,0,4,18,1,0,0,5,1,37.5,0
1149,4,50,29,1,1,19,1,0,0,5,1,37.5,1
1150,2.67,44,32,0,5,19,1,0,0,7,1,35,1
1151,3,14,26,0,6,18,1,0,1,4,1,0,1
1152,4,42,28,0,4,19,1,0,1,6,1,22.5,0
1153,3,54,24,1,3,18,1,0,1,8,1,27.5,0
1154,3.33,50,25,0,4,18,1,0,0,5,1,30,1
1155,4,50,33,1,4,19,1,0,0,5,1,40,1
1156,2.67,36,23,0,4,18,1,0,1,2,1,32.5,1
1157,4,28,25,0,4,18,1,0,0,5,1,32.5,0
1158,2,44,25,1,6,19,1,0,0,8,1,30,0
1159,3.67,30,24,1,4,19,1,0,0,2,1,55,0
1160,2.33,38,27,0,5,19,1,0,0,1,1,37.5,0
1161,3.67,44,33,1,4,19,1,0,0,8,1,40,1
1162,3.67,56,24,0,4,19,1,0,0,5,1,55,1
1163,3.67,32.5,26,1,4,19,1,0,1,2,1,30,0
1164,4,30,24,1,1,18,1,0,1,2,1,40,0
1165,4,30,29,0,4,18,1,0,0,5,1,30,1
1166,4,54,33,0,4,19,1,1,1,3,1,28.5714285714286,0
