"id","GPA","QI","act","male","race","age","fulltime","PellEligible","firstgen","major","ftfy","motivation","work"
1445,3,54,27,0,4,18,1,0,0,9,1,32.5,1
1446,4,32,27,1,1,18,1,0,1,3,1,32.5,0
1447,2.67,36,25,0,4,18,1,0,1,2,1,32.5,1
1448,4,48,28,1,4,19,1,0,0,8,1,50,0
1449,2.67,22,20,0,3,18,1,0,1,2,1,50,1
1450,3.33,50,27,1,5,18,1,1,0,10,1,60,0
1451,3.67,42,23,0,4,18,1,0,1,11,1,35,0
1452,4,45,27,0,4,18,1,0,0,11,1,35,0
1453,4,44,28,0,4,18,1,0,0,5,1,52.5,0
1454,4,48,26,0,4,18,0,0,0,11,1,45,0
1455,2.67,50,18,1,4,18,1,0,1,5,1,27.5,0
1456,3,40,24,0,4,18,1,1,0,5,1,35,0
1457,4,50,22,0,4,19,1,0,1,9,1,42.5,0
1458,3.33,52.5,31,0,4,19,1,0,0,1,1,45,0
1459,3,48,27,0,3,18,1,0,1,9,1,22.5,1
1460,3.67,46,29,0,4,19,1,0,0,5,1,37.5,0
1461,3.67,36,25,0,4,18,1,0,0,4,1,40,0
1462,4,30,28,0,5,18,1,0,1,2,1,20,0
1463,4,46,24,0,2,19,1,0,0,6,1,20,0
1464,2.33,42,25,0,6,18,1,0,0,2,1,60,1
1465,2.33,28,19,0,2,18,1,0,0,5,1,15,1
1466,3,36,15,0,6,18,1,0,0,9,1,37.5,0
1467,2.33,34,12,0,5,19,1,0,1,10,1,20,0
1468,3,8,17,0,2,19,1,0,0,5,1,30,0
1469,4,35,21,0,6,20,1,0,0,6,1,42.5,1
1470,3.67,34,19,0,4,18,1,1,1,4,1,20,1
1471,3.33,46,21,0,4,19,1,0,1,2,1,22.5,1
1472,3.33,52,21,0,4,19,1,0,0,4,0,60,1
1473,3,40,19,0,4,18,1,0,0,2,1,47.5,0
1474,3,42,26,0,4,19,1,0,0,2,1,40,0
1475,3,24,25,0,4,18,1,0,0,6,1,42.5,1
1476,3,32,21,0,4,19,1,0,0,1,1,42.5,0
1477,3.33,56,20,0,4,18,1,0,0,1,1,55,1
1478,4,60,20,1,4,19,1,0,0,5,1,60,0
1479,3,54,28,1,4,19,1,0,1,8,1,50,0
1480,3,54,29,1,3,19,1,0,1,3,1,60,1
1481,3.67,36,22,1,2,19,1,0,1,5,1,25,0
1482,1.67,28,25,0,2,18,0,0,0,5,1,60,1
1483,2.33,30,23,0,3,18,1,0,1,8,1,60,0
1484,3,44,27,0,3,19,1,0,1,8,1,42.5,1
1485,3,45,21,0,6,19,1,0,1,9,1,50,0
1486,4,50,26,0,3,18,1,0,0,5,1,32.5,1
1487,3,60,20,0,2,19,1,0,1,5,1,60,0
1488,4,52.5,24,0,3,18,1,0,1,4,1,60,1
1489,4,52,26,0,3,18,1,0,1,5,1,50,0
1490,3,58,18,1,4,18,1,1,0,9,1,27.5,0
1491,3,24,19,1,2,27,1,0,1,1,0,12.5,1
1492,3.33,40,31,0,4,19,1,0,0,2,1,40,0
1493,4,32,27,1,6,19,1,0,0,2,1,25,0
1494,3.67,48,31,1,3,18,1,0,0,2,1,57.5,0
1495,4,52,32,1,4,20,1,1,0,5,1,52.5,0
1496,3,56,31,0,4,18,1,0,0,2,1,37.5,0
1497,4,42,35,1,6,19,1,0,0,8,1,32.5,0
1498,3,37.5,33,0,4,18,1,0,0,4,1,50,0
1499,3.67,46,21,1,4,19,1,0,0,2,1,40,0
1500,2.33,50,23,0,4,18,1,0,0,9,1,42.5,0
1501,4,28,20,0,2,18,1,0,1,3,1,17.5,1
1502,3.67,44,24,0,4,18,1,0,1,9,1,55,1
1503,3.33,50,23,0,4,18,1,0,1,6,1,22.5,1
1504,3.33,34,22,0,4,18,1,1,0,9,1,25,1
1505,3,48,24,0,4,18,1,0,1,1,1,42.5,0
1506,3.67,42,29,0,4,19,1,0,0,2,1,60,0
1507,3.33,40,29,0,3,18,1,0,0,9,1,40,1
1508,3.67,44,25,1,3,19,1,0,1,3,1,30,1
1509,2.33,50,24,0,4,20,1,0,1,5,1,60,0
1510,3.67,56,24,0,4,18,1,0,0,7,1,60,0
1511,3,40,22,1,1,18,1,0,0,3,1,40,1
1512,3.67,15,26,1,6,18,1,0,1,8,1,20,0
1513,4,60,27,0,4,19,1,0,1,5,1,48.5714285714286,1
1514,3,52,24,0,4,18,1,0,1,9,1,60,0
1515,4,20,33,1,6,18,1,0,1,2,1,42.5,1
1516,3.67,14,24,0,4,18,1,1,1,5,1,15,0
1517,4,54,28,0,4,19,1,0,0,9,1,32.5,1
1518,4,44,26,1,4,19,1,0,0,5,1,40,0
1519,3.33,40,19,0,4,18,1,1,0,11,1,40,0
1520,3.33,60,27,0,4,19,1,0,0,6,1,52.5,1
1521,4,54,33,0,4,18,1,1,0,2,1,47.5,1
1522,3.67,52,28,0,4,19,1,0,0,4,1,45,1
1523,3,50,22,0,4,20,1,0,0,1,1,47.5,1
1524,2,38,22,0,4,19,1,0,0,1,0,40,0
1525,4,52,27,0,4,18,1,1,1,4,1,55,1
1526,2.33,30,19,0,4,18,1,1,1,2,1,40,1
1527,3.33,52,29,1,5,19,1,0,0,4,1,40,1
1528,3.67,38,20,0,2,18,1,0,1,5,1,57.5,0
1529,4,42,18,0,4,18,1,0,1,1,1,30,0
1530,3.33,44,22,1,4,19,1,0,1,2,1,32.5,1
1531,3.67,56,21,0,2,19,1,0,0,2,1,32.5,0
1532,3.67,60,21,0,4,19,1,0,1,5,1,60,0
1533,4,32.5,29,0,4,18,1,0,0,7,1,27.5,0
1534,3.67,50,23,0,4,19,1,0,0,5,1,52.5,1
1535,2.33,50,19,1,3,18,1,0,1,5,1,40,0
1536,4,42,34,1,4,18,1,0,1,4,1,45,1
1537,3,60,29,0,6,19,1,0,0,4,1,32.5,1
1538,3.67,40,33,1,4,18,1,0,0,8,1,32.5,0
1539,3.33,46,30,0,4,18,1,0,0,4,1,60,1
1540,3,40,29,1,4,19,1,1,0,3,1,35,0
1541,3,45,29,0,4,18,1,0,0,4,1,52.5,0
1542,3.33,52,23,0,2,18,1,0,0,7,1,37.5,1
1543,3.67,44,27,0,2,19,1,0,0,3,1,45,0
1544,3.33,52,20,0,2,18,1,0,0,2,1,57.5,0
1545,1.67,58,25,0,2,18,1,0,0,3,1,52.5,1
1546,3.67,38,30,0,2,18,1,0,0,1,1,52.5,0
1547,3.67,32,23,0,4,18,1,1,0,7,1,22.5,0
1548,2.67,24,19,1,2,19,1,0,0,5,1,27.5,0
1549,4,32,21,0,1,19,1,0,0,7,1,60,0
1550,3.33,47.5,24,0,4,18,1,0,1,7,1,47.5,0
1551,3,50,20,0,1,19,1,0,0,2,1,40,0
1552,3.33,34,23,0,1,18,1,0,1,2,1,35,1
1553,2.33,60,16,1,6,19,1,0,1,9,0,28.5714285714286,0
1554,3.33,16,18,1,6,18,1,0,1,3,1,37.5,0
1555,1.67,32,16,0,4,19,0,0,1,9,1,25,0
1556,3.67,34,30,0,1,18,1,0,0,1,1,37.5,0
1557,3.67,46,24,0,4,18,1,1,1,6,1,60,0
1558,3,50,26,0,1,18,1,0,0,9,1,27.5,0
1559,4,30,25,0,1,18,1,0,1,5,1,25,1
1560,3,35,26,0,1,18,1,0,1,2,1,40,1
1561,3.67,54,22,1,6,18,1,0,0,5,1,47.5,0
1562,2.67,40,25,1,6,19,1,0,0,1,1,35,0
1563,3.67,58,18,0,4,26,1,0,0,1,0,50,1
1564,4,40,23,0,4,19,1,0,1,9,1,37.5,0
1565,3.67,54,23,0,4,19,1,0,1,9,1,27.5,1
1566,2.67,42.5,25,0,4,19,1,0,0,9,1,35,1
1567,3,60,26,1,6,19,1,0,0,5,1,45,0
1568,4,38,27,0,4,18,1,1,0,9,1,57.5,0
1569,4,6,29,0,6,19,1,0,1,4,1,17.5,1
1570,2,44,28,0,4,19,1,1,0,9,1,40,1
1571,3.67,60,23,1,4,18,1,0,1,9,1,15,0
1572,3.33,24,20,0,3,18,1,0,1,9,1,40,1
1573,3.33,44,16,0,4,19,1,0,0,5,0,35,1
1574,3,58,25,1,6,18,1,0,1,8,1,42.5,0
1575,2.67,42,23,0,6,18,1,0,1,4,1,47.5,0
1576,3.33,22,22,1,4,18,1,0,1,11,1,15,0
1577,4,40,18,0,3,18,1,0,1,10,1,10,1
1578,3.33,20,24,0,4,21,1,0,0,7,0,22.5,0
1579,3.67,52.5,20,1,4,22,1,0,0,8,0,12.5,1
1580,4,56,31,0,4,19,1,0,1,7,1,40,1
1581,3.67,35,21,0,3,18,1,0,1,11,1,27.5,1
1582,4,54,21,0,4,19,1,0,0,1,1,32.5,0
1583,3.33,20,20,1,5,20,1,0,1,1,1,25,1
1584,4,38,29,0,4,18,1,0,0,1,1,32.5,0
1585,4,42.5,31,1,6,24,1,0,1,1,1,45,1
1586,3.67,48,24,0,4,18,1,0,0,7,1,20,0
1587,3.33,32,22,1,4,18,1,1,1,5,1,32.5,1
1588,3.67,50,23,0,4,19,1,0,1,9,1,60,1
1589,4,44,23,0,4,18,1,0,0,7,1,35,1
1590,3,45,22,0,3,18,1,1,1,11,1,47.5,0
1591,3,40,22,0,4,18,1,0,0,9,1,55,0
1592,4,36,27,0,4,19,1,0,1,9,1,40,1
1593,4,40,28,1,4,19,1,0,0,3,1,35,0
1594,3,50,18,0,3,18,1,0,1,9,1,52.5,1
1595,3.33,54,17,0,3,18,1,0,1,10,1,42.5,0
1596,3.67,52.5,28,1,3,18,1,1,1,7,1,40,1
1597,2.33,44,16,1,2,19,1,0,1,1,0,42.8571428571429,1
1598,4,46,34,0,1,18,1,0,0,2,1,40,0
1599,3.67,46,25,1,4,19,1,0,0,3,1,57.5,0
1600,3.33,50,28,0,4,18,1,1,0,7,1,57.5,1
1601,3.67,25,25,1,4,19,1,1,0,2,1,20,1
1602,4,42.5,26,0,4,19,1,1,1,10,1,35,0
1603,3.67,60,17,0,6,19,1,0,1,10,1,47.5,0
1604,3,34,23,0,4,18,1,1,0,2,1,25,0
1605,3,4,20,0,4,19,1,0,0,9,1,0,0
1606,3,14,20,0,3,19,1,0,1,4,1,40,0
1607,4,26,31,1,5,19,1,0,0,1,1,20,1
1608,4,56,32,0,1,18,1,0,0,3,1,37.5,0
1609,3.33,44,24,1,5,19,1,0,0,2,1,45,0
1610,2.33,60,18,1,4,18,1,0,0,8,1,60,1
1611,4,50,30,0,6,19,1,0,0,2,1,42.5,0
1612,3.67,48,28,0,4,19,1,0,0,7,1,42.5,0
1613,3.33,30,26,0,4,18,1,1,1,9,1,25,0
1614,3.33,50,27,0,4,18,1,0,0,1,1,30,0
1615,1.67,40,18,0,1,19,1,0,0,2,1,30,0
1616,4,40,26,1,4,19,1,1,1,8,1,17.5,1
1617,3,54,20,0,1,18,1,0,0,9,1,50,1
1618,4,26,30,1,6,19,1,0,0,3,1,35,0
1619,3,24,20,0,1,18,1,0,1,7,1,22.5,1
1620,4,50,35,0,1,18,1,0,0,2,1,20,1
1621,3,47.5,30,0,1,18,1,0,0,2,1,40,0
1622,4,6,31,1,5,18,1,0,1,3,1,2.5,0
1623,3,28,18,0,1,19,1,0,0,2,1,10,1
1624,3.67,48,18,0,3,18,1,0,1,5,1,52.5,1
1625,3.67,28,20,0,4,19,1,0,0,3,1,55,1
1626,3.33,40,20,0,4,19,1,0,1,1,0,37.5,0
1627,2.67,58,18,0,3,20,1,0,0,6,0,50,0
1628,3,12,25,1,4,19,1,1,0,5,1,5.71428571428571,1
1629,4,50,25,0,4,18,1,0,1,7,1,50,1
1630,2.33,40,22,0,4,18,1,0,0,7,1,12.5,0
1631,3.67,28,34,1,1,18,1,0,1,3,1,37.5,1
1632,3.67,48,31,1,4,18,1,1,0,1,1,60,0
1633,2.67,48,29,0,6,18,1,1,0,9,1,45,0
1634,3,50,26,1,4,19,1,0,0,5,1,30,1
1635,4,38,23,1,4,19,1,1,1,5,1,40,1
1636,4,42,28,0,4,18,1,0,0,4,1,52.5,1
1637,3,60,27,0,4,18,1,1,0,1,1,60,0
1638,3.33,50,24,1,4,18,1,0,0,4,1,45,0
1639,3.67,56,21,0,4,18,1,0,1,10,1,25,0
1640,1.67,44,25,1,4,18,1,0,0,4,1,30,0
1641,2.33,32,25,0,4,18,1,0,0,6,1,20,0
1642,4,52,25,0,4,18,1,0,0,2,1,40,0
1643,4,45,26,0,4,18,1,0,0,9,1,45,0
1644,4,50,25,0,5,19,1,0,1,9,1,40,0
1645,3,34,25,1,4,19,1,0,0,8,1,27.5,0
1646,2.33,40,17,0,1,19,1,0,1,5,1,22.5,1
1647,2.67,46,24,0,4,19,1,0,0,7,1,35,0
1648,3.67,47.5,20,0,5,19,1,0,0,1,1,42.5,0
1649,4,54,31,1,6,19,1,0,0,7,1,37.5,1
1650,3.67,38,18,1,3,20,1,0,1,1,0,30,1
1651,3,48,25,1,4,19,1,0,1,3,1,27.5,1
1652,4,40,28,1,4,18,1,0,1,10,1,37.5,0
1653,3.67,52,21,1,2,18,1,0,0,5,1,47.5,0
1654,3,32,23,1,2,18,1,0,1,8,1,20,1
1655,3,28,24,0,4,18,1,0,1,7,1,57.5,1
1656,4,50,31,0,4,19,1,0,0,4,1,50,0
1657,3,46,25,0,4,18,1,0,1,2,1,22.5,0
1658,3,47.5,24,0,4,19,1,0,0,5,1,32.5,1
1659,3.33,45,23,0,4,18,1,0,1,5,1,42.5,1
1660,3,12,30,0,4,18,1,0,1,9,1,20,1
1661,2.33,44,21,0,3,18,1,0,1,2,1,57.5,0
1662,4,46,33,0,4,18,1,0,0,2,1,42.5,0
1663,2.67,10,25,0,4,19,1,0,0,7,1,40,0
1664,2.67,60,29,0,4,18,1,0,0,4,1,60,0
1665,2,60,26,1,1,20,1,0,1,3,1,50,0
1666,3.33,18,22,0,4,18,1,0,1,9,1,40,1
1667,3.33,55,20,1,5,19,1,1,1,4,1,50,1
1668,4,40,24,0,4,18,1,0,0,1,1,40,1
1669,2.33,46,20,0,2,19,1,1,1,7,1,35,1
1670,3.67,44,29,1,4,18,1,0,0,2,1,25,1
1671,4,46,30,0,4,19,1,0,0,1,1,42.5,1
1672,4,42,28,0,4,18,1,1,0,1,1,45,0
1673,2,42,25,1,4,18,1,1,0,4,1,45,0
1674,4,48,30,1,4,18,1,0,1,1,1,22.5,1
1675,3.33,35,23,0,2,18,1,0,0,2,1,55,1
1676,3.33,52,26,0,4,18,1,0,1,4,1,45,1
1677,2.33,60,21,1,2,18,1,0,1,3,1,47.5,1
1678,3.67,38,25,0,4,19,1,0,1,2,1,40,1
1679,4,42,31,0,4,18,1,0,0,3,1,35,0
1680,3,38,26,1,4,18,1,0,0,5,1,30,1
1681,2.67,46,25,0,4,18,1,0,1,4,1,42.5,1
1682,4,46,30,0,1,19,1,0,0,1,1,35,1
1683,3.67,42,25,1,4,18,1,1,0,5,1,32.5,0
1684,3,44,31,0,4,18,1,0,0,4,1,60,1
1685,4,37.5,32,0,5,18,1,0,0,2,1,35,1
1686,4,56,20,0,2,18,1,0,1,4,1,22.5,0
1687,3.33,60,28,0,4,18,1,0,1,2,1,60,0
1688,2.67,44,22,1,3,19,1,0,1,8,1,20,0
1689,3,30,28,0,4,18,1,0,1,7,1,20,1
1690,3,50,29,1,2,19,1,0,0,1,1,37.5,0
1691,3,30,22,1,4,18,1,0,1,5,1,40,0
1692,3.33,52.5,20,1,4,18,1,0,1,8,1,47.5,0
1693,4,44,21,0,4,34,1,0,1,5,1,32.5,1
1694,3.67,40,25,1,6,18,1,0,1,3,1,25,1
1695,3.67,46,19,0,1,18,1,0,1,2,1,35,1
1696,2.67,50,20,1,3,18,1,0,1,9,1,40,1
1697,4,42,29,0,6,18,1,0,0,11,1,22.5,0
1698,3.33,50,29,1,4,19,1,0,0,2,1,32.5,0
1699,4,50,30,0,5,18,1,0,0,2,1,50,0
1700,3.67,38,25,0,4,19,1,0,1,7,1,57.5,1
1701,3,34,24,0,6,18,1,1,0,9,1,17.5,0
1702,3.67,36,26,0,4,18,1,1,0,10,1,25,0
1703,3.33,50,24,1,4,18,1,0,0,5,1,47.5,1
1704,3.67,52,26,0,4,18,1,0,0,11,1,27.5,0
1705,2.33,54,24,1,4,20,1,0,0,5,0,50,0
1706,3,44,20,0,4,18,1,0,1,10,1,35,0
1707,3,50,28,0,4,19,1,0,1,7,1,25,1
1708,2.33,60,18,0,2,20,1,1,1,4,0,47.5,0
1709,3.33,28,20,0,2,18,1,0,0,5,1,22.5,0
1710,3.67,52,33,1,4,18,1,1,0,8,1,35,0
1711,3.67,48,25,0,4,19,1,0,1,2,1,30,1
1712,2.67,54,28,1,3,18,1,0,1,5,1,55,1
1713,3.33,18,18,1,4,19,1,1,1,7,1,30,1
1714,4,28,23,0,4,18,1,0,1,1,1,42.5,1
1715,3.33,36,22,1,4,19,1,1,1,7,1,35,0
1716,3,50,29,0,4,19,1,0,0,2,1,55,1
1717,4,46,23,0,6,18,1,0,1,4,1,47.5,0
1718,1.67,47.5,25,1,3,19,1,0,1,11,0,47.5,0
1719,3.67,40,28,0,4,18,1,1,0,2,1,57.5,1
1720,3,24,23,0,4,18,1,0,11,7,1,30,0
1721,4,40,31,0,4,18,1,1,0,2,1,20,1
1722,3,46,18,0,2,20,1,0,1,6,0,20,1
1723,3,42,18,1,3,19,1,1,1,5,0,40,1
1724,3,50,20,1,4,19,1,0,0,9,1,37.5,1
1725,2,37.5,20,0,6,18,1,0,1,2,1,42.5,1
1726,3.33,56,27,0,2,18,1,0,1,2,1,17.5,1
1727,2.67,60,19,1,2,19,1,1,0,1,1,60,0
1728,3,46,18,1,3,18,1,0,1,7,1,42.5,0
1729,3,16,22,0,4,18,1,0,1,11,1,40,1
1730,4,48,22,0,3,19,1,0,1,5,1,50,11
1731,4,32,22,0,6,18,1,0,1,9,1,25,0
1732,3,54,28,1,2,19,1,1,0,5,1,47.5,1
1733,3,60,22,0,4,18,1,0,1,5,1,20,1
1734,2,60,26,1,4,18,1,1,0,9,1,60,1
1735,4,45,26,0,4,19,1,0,0,4,1,57.5,0
1736,2.67,30,22,0,3,19,1,0,1,6,1,50,0
1737,3,28,17,0,3,19,1,0,1,10,1,37.5,0
1738,3.33,22.5,20,1,2,19,1,0,1,6,1,20,0
1739,3,22,18,0,4,19,1,0,1,2,1,45,0
1740,2.33,22,18,1,5,18,1,0,1,6,1,20,1
1741,2.67,38,20,0,2,18,1,0,1,7,1,40,1
1742,4,34,26,0,1,18,1,0,1,7,1,22.5,1
1743,3,42,25,1,4,18,1,0,0,3,1,60,0
1744,3.67,50,25,0,4,18,1,0,1,10,1,60,0
1745,4,56,23,1,5,19,1,0,1,7,1,52.5,1
1746,3.67,52,19,0,4,19,1,0,1,6,1,35,1
1747,2,26,19,0,6,18,1,0,1,10,1,20,1
1748,4,46,30,1,4,19,1,0,0,1,1,60,0
1749,3,26,18,1,1,18,1,0,1,5,1,57.5,0
1750,2.33,60,25,0,4,18,1,0,0,2,1,47.5,0
1751,2,44,21,1,4,19,1,0,1,1,1,22.5,0
1752,2.67,20,22,0,2,19,1,0,1,7,1,17.5,0
1753,3,42.5,26,0,4,19,1,0,0,9,1,40,0
1754,3.67,50,29,0,4,18,1,1,0,3,1,52.5,0
1755,3.67,44,30,1,6,18,1,0,0,5,1,37.5,1
1756,4,42,27,0,5,18,1,0,1,4,1,35,0
1757,3.67,58,26,0,2,18,1,0,0,1,1,55,1
1758,3.67,54,21,0,4,18,1,0,1,9,1,57.5,1
1759,3.67,40,16,1,2,19,1,1,1,11,1,40,0
1760,4,30,31,0,4,19,1,0,1,11,1,27.5,1
1761,3.33,18,24,1,4,18,1,0,0,5,1,40,0
1762,4,50,25,1,4,18,1,0,0,8,1,45,0
1763,3.33,48,21,0,4,21,1,0,0,4,1,40,1
1764,3.33,28,21,0,4,18,1,0,0,4,1,55,1
1765,3.67,50,30,1,4,18,1,0,0,5,1,30,0
1766,4,46,35,0,4,19,1,0,0,1,1,42.5,0
1767,3.33,52,22,0,4,19,1,0,0,6,1,42.5,1
1768,4,46,29,0,4,19,1,0,1,4,1,40,0
1769,3.33,30,17,0,4,19,1,0,0,9,1,27.5,0
1770,3.67,24,23,0,4,20,1,0,1,5,0,35,1
1771,3.67,10,20,0,4,19,1,0,0,11,0,0,1
1772,3,42.5,23,0,4,19,1,0,1,11,1,37.5,1
1773,2,20,32,1,4,18,1,0,1,8,1,0,1
1774,3.67,16,17,0,4,19,1,0,0,1,1,7.5,1
1775,3.67,46,20,1,4,19,1,0,1,8,1,20,1
1776,2.33,30,15,0,3,19,1,0,0,9,1,40,0
1777,4,54,33,1,4,19,1,0,0,5,1,45,1
1778,4,46,32,1,4,18,1,0,0,5,1,42.5,0
1779,4,44,26,0,4,18,1,0,1,4,1,47.5,1
1780,4,50,28,0,4,18,1,0,0,1,1,37.5,0
1781,3.33,36,20,0,4,19,1,0,1,7,1,32.5,1
1782,2.67,34,19,0,3,18,1,0,1,7,1,2.5,1
1783,3.33,46,19,1,4,19,1,0,1,9,1,60,1
1784,2.67,40,22,0,1,19,1,0,1,2,1,15,0
1785,2,42,23,1,4,19,1,0,0,5,1,10,0
1786,2.67,58,23,1,4,19,1,0,0,8,1,47.5,1
1787,3.67,50,19,0,1,20,1,0,0,11,1,37.5,0
1788,3,44,29,1,4,18,1,1,1,3,1,32.5,0
1789,4,30,25,0,4,18,1,0,1,10,1,40,1
1790,2.67,26,19,0,4,18,1,0,1,9,1,35,0
1791,3.67,30,24,0,4,18,1,0,0,3,1,30,0
1792,3.33,60,22,1,4,19,1,0,1,4,1,52.5,0
1793,3.33,40,24,1,6,19,1,0,0,2,1,37.5,0
1794,4,60,26,0,4,19,1,0,0,3,1,60,1
1795,4,60,26,0,4,19,1,0,1,9,1,60,1
1796,4,52,23,0,4,18,1,0,0,2,1,50,0
1797,3,44,18,1,2,19,1,0,1,5,1,15,1
1798,3.67,34,22,0,4,18,1,0,0,9,1,40,1
1799,3.33,60,18,0,4,18,1,0,1,5,1,40,0
1800,4,56,24,1,4,18,1,0,0,11,1,60,1
1801,4,40,19,0,4,18,1,0,1,9,1,60,1
1802,4,34,26,0,4,18,1,0,0,9,1,32.5,0
1803,3,40,19,1,6,18,1,0,1,6,1,32.5,1
1804,3.67,44,23,0,4,19,1,0,0,7,1,40,1
1805,3.33,36,21,1,6,19,1,1,0,2,1,40,1
1806,4,32,28,1,4,18,1,0,0,11,1,60,0
1807,3.33,30,19,1,4,19,1,0,1,3,1,47.5,0
1808,2,38,16,0,4,18,1,0,1,11,1,20,1
1809,3.33,50,18,0,4,18,1,0,0,7,1,60,0
1810,3.67,40,30,0,4,18,1,0,1,2,1,27.5,0
1811,3.67,44,29,0,4,19,1,0,0,9,1,42.5,1
1812,4,44,25,0,4,18,1,0,0,9,1,40,0
1813,3.33,52,24,0,4,18,1,0,0,10,1,45,0
1814,3.67,40,28,1,4,18,1,0,0,7,1,52.5,0
1815,3.33,52,33,1,4,18,1,0,0,5,1,40,0
1816,4,40,27,0,4,19,1,0,0,9,1,40,0
1817,4,32,35,0,4,19,1,0,0,11,1,25,0
1818,4,16,34,1,6,18,1,0,1,1,1,52.5,0
1819,2.67,30,23,1,1,20,1,0,0,5,1,30,1
1820,4,47.5,31,1,4,19,1,0,0,1,1,30,0
1821,3.67,42.5,29,0,4,18,1,0,0,5,1,31.4285714285714,0
1822,3.33,50,26,1,5,19,1,0,0,7,1,40,1
1823,3.33,18,28,0,4,19,1,0,0,5,1,10,0
1824,3.33,40,25,0,4,18,1,0,0,1,1,30,1
1825,3,50,28,1,4,18,1,1,0,10,1,52.5,0
1826,3.67,52,27,1,4,19,1,0,1,5,1,50,0
1827,3.33,34,27,0,4,19,1,0,1,5,1,27.5,0
1828,3,20,34,1,4,18,1,0,0,3,1,17.5,0
1829,3,44,21,0,3,19,1,0,0,5,1,57.5,0
1830,3.33,50,27,1,1,18,1,0,0,5,1,40,0
1831,3.33,60,22,1,4,19,1,0,0,2,1,40,1
1832,3.67,48,26,0,5,19,1,0,0,5,1,60,1
1833,4,6,27,0,4,19,1,0,0,1,1,10,0
1834,4,36,31,0,4,19,1,0,0,7,1,40,0
1835,3.33,54,29,1,4,18,1,0,0,5,1,60,0
1836,3.33,16,22,0,4,20,1,0,1,10,0,27.5,1
1837,4,54,30,1,4,18,1,0,0,5,1,55,0
1838,3.33,60,28,1,4,19,1,0,1,3,1,57.5,0
1839,3.33,32,23,0,4,18,1,0,0,6,1,60,0
1840,3.33,38,32,0,6,18,1,0,1,5,1,50,1
1841,4,47.5,30,1,1,18,1,0,0,5,1,37.5,0
1842,4,50,34,0,4,19,1,0,0,5,1,60,0
1843,3.67,60,30,1,4,19,1,0,0,3,1,57.5,0
1844,4,46,33,0,4,19,1,0,1,9,1,55,1
1845,3.67,40,32,0,4,18,1,0,0,5,1,45,0
1846,3.67,60,24,0,4,19,1,0,1,10,1,40,0
1847,3.33,34,24,0,3,19,1,0,1,2,1,60,0
1848,4,46,23,0,4,19,1,0,0,6,1,60,0
1849,3.33,36,22,0,4,18,1,0,0,5,1,30,0
1850,3,50,19,1,5,19,1,0,1,5,1,37.5,0
1851,3.67,50,29,1,4,19,1,0,0,5,1,37.5,1
1852,3,36,33,1,4,17,1,0,0,5,1,30,1
1853,4,44,25,1,4,18,1,0,0,2,1,52.5,0
1854,3.67,48,21,1,3,19,1,0,1,9,1,20,0
1855,4,30,29,0,4,18,1,0,0,2,1,32.5,1
1856,3.67,36,29,0,4,19,1,0,0,1,1,40,0
1857,4,34,29,0,5,18,1,0,0,1,1,27.5,0
1858,3.67,54,20,0,2,18,1,0,1,9,1,42.5,0
1859,4,48,34,1,4,19,1,0,0,5,1,57.5,0
1860,4,52.5,32,1,6,19,1,0,0,5,1,54.2857142857143,0
1861,3.33,50,24,0,4,18,1,0,0,7,1,60,0
1862,3.33,40,22,0,3,18,1,0,1,5,1,32.5,0
1863,3,10,18,0,4,19,1,0,1,6,1,40,1
1864,3.67,44,34,1,4,18,1,0,0,1,1,50,0
1865,4,60,32,1,3,19,1,0,1,2,1,50,0
1866,3.33,44,30,0,4,19,1,0,0,3,1,35,0
1867,3.67,45,30,0,4,18,1,1,0,5,1,40,0
1868,3.33,46,25,0,4,18,1,0,0,6,1,40,0
1869,3.67,55,34,0,4,18,1,0,0,5,1,55,0
1870,3,24,18,1,4,20,1,0,1,11,0,40,1
1871,3.33,50,14,0,2,19,1,0,1,7,1,40,0
1872,3.67,42,27,0,4,19,1,0,1,4,1,12.5,1
1873,3.33,60,22,1,3,18,1,0,0,6,1,55,1
1874,3.33,24,19,0,4,19,1,0,1,5,1,60,1
1875,4,44,20,0,4,19,0,0,0,4,0,40,1
1876,3.67,60,18,0,2,18,1,0,1,9,1,50,0
1877,3.67,56,26,0,4,19,1,0,0,4,1,40,0
1878,4,42,26,0,4,18,1,0,0,9,1,22.5,0
1879,3.33,45,28,1,4,19,1,1,0,9,1,30,0
1880,3.33,40,26,0,4,18,1,0,0,2,1,17.5,1
1881,3.67,42,23,0,4,18,1,0,1,2,1,35,1
1882,2.67,50,25,0,3,19,1,0,0,2,1,60,1
1883,3,26,20,0,4,18,1,0,0,9,1,0,0
1884,4,54,23,0,4,19,1,0,0,5,1,55,0
1885,3,38,27,0,4,18,1,1,0,8,1,30,0
1886,3,28,26,1,4,19,1,0,1,8,1,15,0
1887,3.67,60,27,0,4,18,1,0,1,2,1,50,0
1888,3.33,50,29,1,4,19,1,1,0,8,1,40,1
1889,3.33,60,24,0,4,19,1,0,1,5,1,20,1
1890,4,52,31,0,4,18,1,0,0,8,1,52.5,1
1891,3.33,56,25,1,4,18,1,1,0,8,1,40,0
1892,2.67,52,26,1,4,19,1,0,1,8,1,50,0
1893,2.67,36,21,0,4,19,1,0,0,9,1,30,0
1894,3.67,44,23,0,4,18,1,0,1,9,1,22.5,1
